name,name_cn,bgm_id,bgm_score,fm_score,mal_score,ank_score,anl_score,score,time
86―エイティシックス―,86 -不存在的战区-,302189,7.4,8.2,8.7,None,8.2,7.9,"{'day': 28, 'month': 1, 'year': 2024}"
86―エイティシックス― 第2クール,86 -不存在的战区- 第二季,331887,7.9,8.2,8.29,None,8.6,8.068,"{'day': 28, 'month': 1, 'year': 2024}"
BanG Dream! It's MyGO!!!!!,,428735,8.4,5.8,8.26,7.2,8.15,7.592,"{'day': 28, 'month': 1, 'year': 2024}"
CLANNAD 〜AFTER STORY〜,,876,9.1,9.0,8.93,None,8.7,9.036,"{'day': 28, 'month': 1, 'year': 2024}"
PLUTO,冥王,217021,7.4,8.4,8.55,8.0,8.45,7.93,"{'day': 28, 'month': 1, 'year': 2024}"
SHIROBAKO,白箱,110467,8.7,8.6,8.28,8.4,8.2,8.586,"{'day': 28, 'month': 1, 'year': 2024}"
カウボーイビバップ,星际牛仔,253,9.1,8.8,8.75,8.4,8.6,8.94,"{'day': 28, 'month': 1, 'year': 2024}"
